场次ID,联赛,主队,客队,开赛时间,最优玩法,盘口,EV,Kelly,实际赛果
508972,南韩乙组联赛,首尔衣恋,天安市,20260724 18:30,大小球-小,3球,2.71%,0.00%,未完场
509753,东南亚锦标赛,东帝汶,越南,20260724 21:30,让球-主,+4球,33.65%,25.00%,未完场
511254,球会友谊赛,奥沙辛拿,桑坦德,20260725 01:30,胜平负-客胜,胜平负,19.37%,0.00%,未完场
509289,阿根廷甲组联赛,门多萨甘拿斯亚,中央科尔多瓦,20260725 03:45,让球-主,-0.5球,3.09%,3.43%,未完场
509293,阿根廷甲组联赛,柏拉坦斯,圣达菲联,20260725 08:15,胜平负-客胜,胜平负,8.36%,0.00%,未完场
510627,墨西哥甲组联赛,特帕蒂特兰,杜兰高蝎子,20260725 09:00,让球-主,-0.5球,13.95%,15.50%,未完场
509243,美国国家女子联赛,波特兰荆棘女足,葛咸FC女足,20260725 10:00,让球-主,+0.5球,7.17%,7.96%,未完场
509280,墨西哥超级联赛,阿兰特,阿美利加会,20260725 11:00,让球-主,+1球,4.24%,6.84%,未完场
509281,墨西哥超级联赛,堤华纳,莱昂,20260725 11:00,大小球-大,2.75球,2.09%,0.00%,未完场
508948,中国超级联赛,青岛海牛,天津津门虎,20260725 17:30,让球-主,+0.25球,0.55%,0.74%,未完场
508974,南韩乙组联赛,釜山偶像,水原蓝翼,20260725 18:30,让球-客,0球,4.41%,7.39%,未完场
508975,南韩乙组联赛,FC大邱,水原FC,20260725 18:30,让球-主,-0.5球,0.53%,0.53%,未完场
508949,中国超级联赛,辽宁铁人,青岛西海岸,20260725 19:35,大小球-小,3.25球,11.96%,0.00%,未完场
510505,俄罗斯超级联赛,阿克隆陶尔亚蒂,圣彼德斯堡,20260725 21:15,大小球-大,3球,1.49%,1.71%,未完场
509118,芬兰超级联赛,马利汉姆,AC奥卢,20260725 21:30,让球-主,+1.25球,4.15%,6.20%,未完场
511253,球会友谊赛,韦恩,拜仁慕尼黑,20260725 21:30,让球-客,+0.75球,35.77%,25.00%,未完场
509119,芬兰超级联赛,古比斯,VPS华沙,20260725 22:00,让球-主,-0.25球,9.13%,0.00%,未完场
509913,瑞典女子超级联赛,诺高平女足,哈马比女足,20260725 22:00,让球-主,+1.25球,2.04%,2.83%,未完场
510659,苏格兰联赛杯,鸭巴甸,基迪赫斯,20260725 22:00,让球-客,-2.75球,10.17%,0.97%,未完场
510660,苏格兰联赛杯,艾迪尔联,罗斯郡,20260725 22:00,让球-主,+1球,3.75%,5.31%,未完场
510661,苏格兰联赛杯,艾布亚夫,斯特灵,20260725 22:00,让球-客,-1球,8.12%,8.99%,未完场
510669,苏格兰联赛杯,摩顿,恩华利斯,20260725 22:00,让球-主,+1球,4.94%,6.53%,未完场
510671,苏格兰联赛杯,昆士柏,南部皇后,20260725 22:00,让球-客,-0.75球,1.00%,0.00%,未完场
510672,苏格兰联赛杯,史丹侯斯姆,利云斯顿,20260725 22:00,让球-主,+1球,0.56%,0.79%,未完场
510673,苏格兰联赛杯,圣庄士东,东法夫郡,20260725 22:00,让球-客,-2.25球,9.13%,20.38%,未完场
511186,球会友谊赛,些路迪,AC米兰,20260725 22:00,让球-客,-0.25球,3.62%,15.93%,未完场
509102,瑞典超级联赛,卡马亚,米赞比,20260725 23:30,让球-主,0球,1.23%,1.87%,未完场
510507,俄罗斯超级联赛,莫斯科斯巴达,莫斯科路迪拿,20260726 01:45,让球-主,-1.5球,0.07%,0.07%,未完场
511192,球会友谊赛,波图,阿士东维拉,20260726 03:00,大小球-大,2.75球,0.63%,0.00%,未完场
509295,阿根廷甲组联赛,纽维尔旧生,泰拿尼斯,20260726 04:00,胜平负-客胜,胜平负,1.56%,0.00%,未完场
509244,美国国家女子联赛,波士顿传承女足,肯萨斯城流动女足,20260726 05:00,大小球-小,2.75球,20.57%,0.00%,未完场
509249,巴西甲组联赛,山度士,查比高恩斯,20260726 05:30,让球-客,-1.5球,2.11%,2.64%,未完场
509272,智利甲组联赛,侯治柏度,科布雷素,20260726 05:30,让球-客,-1球,1.70%,2.44%,未完场
510618,墨西哥甲组联赛,特拉斯卡拉,哥达拿查拉大学,20260726 06:00,胜平负-客胜,胜平负,10.10%,0.00%,未完场
511187,球会友谊赛,利物浦,新特兰,20260726 06:00,让球-主,-0.75球,10.03%,22.79%,未完场
509296,阿根廷甲组联赛,河床,巴拉卡斯中央,20260726 06:15,让球-客,-1.25球,2.90%,16.98%,未完场
509216,美国冠军联赛,伯明翰军团,新墨西哥联,20260726 07:00,让球-主,-0.25球,2.75%,0.00%,0:0
509219,美国冠军联赛,印第安纳十一,劳顿联,20260726 07:00,大小球-小,3球,1.45%,0.00%,未完场
509285,墨西哥超级联赛,哥达拿查拉,祖亚雷斯,20260726 07:00,让球-客,-1.25球,4.40%,16.53%,未完场
510619,墨西哥甲组联赛,云拿度斯,奥沙卡,20260726 07:00,胜平负-客胜,胜平负,48.22%,0.00%,未完场
509184,美国职业大联盟联赛,哥伦布机员,FC辛辛那提,20260726 07:15,胜平负-主胜,胜平负,14.97%,13.25%,未完场
509185,美国职业大联盟联赛,华盛顿联队,多伦多FC,20260726 07:30,大小球-小,2.75球,3.19%,0.00%,未完场
509186,美国职业大联盟联赛,CF蒙特利尔,国际迈亚密,20260726 07:30,让球-主,+0.25球,0.02%,0.02%,未完场
509187,美国职业大联盟联赛,新英伦革命,阿特兰大联,20260726 07:30,让球-主,-0.25球,1.55%,0.00%,未完场
509190,美国职业大联盟联赛,费城联,西雅图海湾者,20260726 07:30,胜平负-客胜,胜平负,21.50%,0.00%,未完场
509245,美国国家女子联赛,北卡罗勇气女足,犹他皇家女足,20260726 07:45,让球-主,0球,2.47%,3.46%,未完场
509273,智利甲组联赛,天主教大学,拉沙连拿,20260726 08:00,让球-客,-1.25球,4.59%,16.90%,未完场
509193,美国职业大联盟联赛,圣路易斯城SC,科罗拉多急流,20260726 08:30,大小球-大,2.75球,0.61%,0.00%,未完场
509189,美国职业大联盟联赛,奥兰多城,纳舒维尔SC,20260726 08:45,让球-客,0球,8.01%,12.17%,未完场
509223,美国冠军联赛,科罗拉多泉波路,查勒斯顿炮台,20260726 09:00,让球-客,-0.25球,2.55%,14.91%,未完场
509194,美国职业大联盟联赛,圣地牙哥FC,FC达拉斯,20260726 09:30,让球-主,-0.25球,0.66%,0.00%,未完场
509196,美国职业大联盟联赛,波特兰伐木者,皇家盐湖城,20260726 10:30,大小球-小,3.5球,13.06%,0.00%,未完场
509197,美国职业大联盟联赛,圣荷西地震,洛杉矶银河,20260726 10:30,让球-主,-0.5球,8.41%,8.24%,未完场
509227,美国冠军联赛,凤凰城展翅,哈特福体育,20260726 10:30,胜平负-客胜,胜平负,22.75%,0.00%,未完场
509279,墨西哥超级联赛,堤格雷斯,圣路易斯体育会,20260726 11:00,大小球-大,2.5球,5.97%,7.47%,未完场
511249,球会友谊赛,奥克兰FC,热刺,20260726 11:00,大小球-小,3.75球,6.36%,0.00%,未完场
510206,澳洲杯,韦斯顿熊队,墨尔本城,20260726 12:00,让球-客,+2球,1.80%,2.85%,0:3
511338,球会友谊赛,利云特,艾卡迪沙,20260726 16:00,让球-客,0球,1.51%,1.92%,1:0
